satellite,feature,mode,mdays,threshold,precision,recall,TP,FP,FN,f1,f2
Fengyun-4A,Brouwer mean motion,multivar_raw,5,0.0763,0.6491,0.7551,37,20,12,0.6981,0.7312
Fengyun-4A,mean anomaly,multivar_raw,3,1.3005,0.122,0.7143,35,252,14,0.2083,0.3623
Fengyun-4A,mean anomaly,multivar_raw,5,1.3085,0.1423,0.8163,40,241,9,0.2424,0.4193
Fengyun-4A,eccentricity,multivar_raw,3,12.7321,0.2652,0.7143,35,97,14,0.3867,0.5335
Fengyun-4A,eccentricity,multivar_raw,5,14.4536,0.35,0.7143,35,65,14,0.4698,0.5912
SARAL,Brouwer mean motion,multivar_raw,3,6.4927,0.1089,0.629,39,319,23,0.1857,0.3218
SARAL,Brouwer mean motion,multivar_raw,5,6.4927,0.1089,0.629,39,319,23,0.1857,0.3218
SARAL,mean anomaly,multivar_raw,3,0.0419,0.0965,0.5806,36,337,26,0.1655,0.2899
SARAL,mean anomaly,multivar_raw,5,0.0419,0.1046,0.629,39,334,23,0.1793,0.314
SARAL,eccentricity,multivar_raw,3,4.9968,0.1144,0.4355,27,209,35,0.1812,0.2789
SARAL,eccentricity,multivar_raw,5,6.3642,0.1595,0.4194,26,137,36,0.2311,0.3163
Haiyang-2A,Brouwer mean motion,multivar_raw,3,0.1308,0.1359,0.431,25,159,33,0.2066,0.3005
Haiyang-2A,Brouwer mean motion,multivar_raw,5,0.1361,0.1477,0.4483,26,150,32,0.2222,0.3186
Haiyang-2A,mean anomaly,multivar_raw,3,0.0889,0.0534,0.5862,34,603,24,0.0978,0.1956
Haiyang-2A,mean anomaly,multivar_raw,5,0.1612,0.0845,0.431,25,271,33,0.1412,0.2367
Haiyang-2A,eccentricity,multivar_raw,3,13.0148,0.0913,0.3276,19,189,39,0.1429,0.2159
Haiyang-2A,eccentricity,multivar_raw,5,12.3613,0.1034,0.4138,24,208,34,0.1655,0.2586
