satellite,feature,mode,mdays,threshold,precision,recall,TP,FP,FN,f1,f2
Haiyang-2A,Brouwer mean motion,smoothed,3,0.0148,0.0933,0.4828,28,272,30,0.1564,0.2632
Haiyang-2A,Brouwer mean motion,smoothed,5,0.0162,0.1061,0.4828,28,236,30,0.1739,0.2823
Haiyang-2A,mean anomaly,raw,3,0.0764,0.0351,0.6034,35,962,23,0.0664,0.1424
Haiyang-2A,mean anomaly,raw,5,0.133,0.0582,0.4828,28,453,30,0.1039,0.1964
Haiyang-2A,mean anomaly,smoothed,3,0.0174,0.0412,0.5,29,675,29,0.0761,0.1549
Haiyang-2A,mean anomaly,smoothed,5,0.0172,0.0519,0.6379,37,676,21,0.096,0.1958
Haiyang-2A,eccentricity,raw,3,8.91,0.0676,0.4828,28,386,30,0.1186,0.2167
Haiyang-2A,eccentricity,raw,5,12.2911,0.1076,0.4138,24,199,34,0.1708,0.2637
Haiyang-2A,eccentricity,smoothed,3,1.3506,0.0679,0.431,25,343,33,0.1174,0.2083
Haiyang-2A,eccentricity,smoothed,5,1.754,0.1111,0.4138,24,192,34,0.1752,0.2679
